manuscript_figure,output_file,type,role,source_file
Figure 1,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure1_spatiotemporal_overview.png,Composite,Main spatiotemporal synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_spatiotemporal_patterns/figures/fig_sp01_province_new_record_count_map.png
Figure 1,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure1_spatiotemporal_overview.png,Composite,Main spatiotemporal synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_spatiotemporal_patterns/figures/fig_sp03_across_order_point_map.png
Figure 1,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure1_spatiotemporal_overview.png,Composite,Main spatiotemporal synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_spatiotemporal_patterns/figures/fig_sp06_province_stacked_barline_top10.png
Figure 1,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure1_spatiotemporal_overview.png,Composite,Main spatiotemporal synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_spatiotemporal_patterns/figures/fig_sp07_year_stacked_barline_top10.png
Figure 2,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure2_taxonomic_flow_sankey.png,Single,Taxonomic-spatial-temporal flow,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_sankey_order_province_year/figures/fig_ref01_sankey_order_province_year_en_compact_v3.png
Figure 3,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure3_directional_patterns.png,Composite,Directional pattern synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_directional_windrose_radar/figures/overall/overall_direction_windrose.png
Figure 3,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure3_directional_patterns.png,Composite,Directional pattern synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_binomial_order_pattern/figures/fig_ref04_order_binomial_pattern_a.png
Figure 3,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure3_directional_patterns.png,Composite,Directional pattern synthesis,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_directional_windrose_radar/figures/combined/order_direction_windrose_facets.png
Figure 4,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure4_correlates_and_mechanisms.png,Composite,"Trait correlates, representativeness, and discovery mechanisms",/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_full_pipeline_main_text/figures/fig14_species_trait_coefficient_models.png
Figure 4,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure4_correlates_and_mechanisms.png,Composite,"Trait correlates, representativeness, and discovery mechanisms",/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_full_pipeline_main_text/figures/fig12_order_representativeness_scatter.png
Figure 4,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figure4_correlates_and_mechanisms.png,Composite,"Trait correlates, representativeness, and discovery mechanisms",/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_full_pipeline_main_text/figures/fig13_discovery_reason_and_method.png
Supplementary Figure S1,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_manuscript_english_full/figures/figureS1_order_direction_facets.png,Single,Order-specific directional structure,/Users/dingchenchen/Documents/New records/bird_new_records_R_output/tasks/bird_directional_windrose_radar/figures/combined/order_direction_windrose_facets.png
