threshold,model,model_label,status,nobs,aic,bic,logLik,delta_aic
50,M4,Joint-driver interaction model,ok,14198,4551.222360851566,4762.9263397323475,-2247.611180425783,0
50,M0,Baseline year model,ok,14198,4569.973573141334,4758.994982856317,-2259.986786570667,18.751212289767864
50,M1,Climate model,ok,14198,4570.709043800643,4767.291309904225,-2259.3545219003213,19.486682949076567
50,M2,Effort model,ok,14198,4571.388773740854,4767.971039844437,-2259.694386870427,20.16641288928804
50,M3,Climate + effort model,ok,14198,4572.047278915164,4776.190401407345,-2259.023639457582,20.82491806359758
100,M4,Joint-driver interaction model,ok,13058,4289.893053070255,4499.253428119158,-2116.9465265351273,0
100,M1,Climate model,ok,13058,4308.102037622595,4502.508100168006,-2128.0510188112976,18.208984552340553
100,M0,Baseline year model,ok,13058,4308.300412289928,4495.229318583592,-2129.150206144964,18.407359219673708
100,M3,Climate + effort model,ok,13058,4309.181761447731,4511.064980244889,-2127.5908807238657,19.288708377476723
100,M2,Effort model,ok,13058,4309.500123994314,4503.906186539725,-2128.750061997157,19.60707092405937
200,M4,Joint-driver interaction model,ok,12285,4034.0922250063313,4241.743984985079,-1989.0461125031657,0
200,M1,Climate model,ok,12285,4048.588300657286,4241.407792066123,-1998.294150328643,14.49607565095448
200,M0,Baseline year model,ok,12285,4049.044950162295,4234.448307286178,-1999.5224750811476,14.95272515596389
200,M3,Climate + effort model,ok,12285,4050.087125619556,4250.322751313349,-1998.043562809778,15.994900613224672
200,M2,Effort model,ok,12285,4050.635044682801,4243.454536091638,-1999.3175223414005,16.542819676469662
