"order","direction","n_species","n_species_total","prop_order"
"Accipitriformes","East",12,37,0.324324324324324
"Accipitriformes","North",6,37,0.162162162162162
"Accipitriformes","Northeast",9,37,0.243243243243243
"Accipitriformes","Northwest",2,37,0.0540540540540541
"Accipitriformes","South",0,37,0
"Accipitriformes","Southeast",4,37,0.108108108108108
"Accipitriformes","Southwest",3,37,0.0810810810810811
"Accipitriformes","West",1,37,0.027027027027027
"Anseriformes","East",16,36,0.444444444444444
"Anseriformes","North",1,36,0.0277777777777778
"Anseriformes","Northeast",2,36,0.0555555555555556
"Anseriformes","Northwest",0,36,0
"Anseriformes","South",4,36,0.111111111111111
"Anseriformes","Southeast",8,36,0.222222222222222
"Anseriformes","Southwest",3,36,0.0833333333333333
"Anseriformes","West",2,36,0.0555555555555556
"Charadriiformes","East",33,75,0.44
"Charadriiformes","North",0,75,0
"Charadriiformes","Northeast",7,75,0.0933333333333333
"Charadriiformes","Northwest",1,75,0.0133333333333333
"Charadriiformes","South",3,75,0.04
"Charadriiformes","Southeast",18,75,0.24
"Charadriiformes","Southwest",12,75,0.16
"Charadriiformes","West",1,75,0.0133333333333333
"Columbiformes","East",5,16,0.3125
"Columbiformes","North",2,16,0.125
"Columbiformes","Northeast",5,16,0.3125
"Columbiformes","Northwest",3,16,0.1875
"Columbiformes","South",0,16,0
"Columbiformes","Southeast",0,16,0
"Columbiformes","Southwest",1,16,0.0625
"Columbiformes","West",0,16,0
"Passeriformes","East",128,351,0.364672364672365
"Passeriformes","North",29,351,0.0826210826210826
"Passeriformes","Northeast",83,351,0.236467236467236
"Passeriformes","Northwest",23,351,0.0655270655270655
"Passeriformes","South",11,351,0.0313390313390313
"Passeriformes","Southeast",33,351,0.094017094017094
"Passeriformes","Southwest",31,351,0.0883190883190883
"Passeriformes","West",13,351,0.037037037037037
"Pelecaniformes","East",6,22,0.272727272727273
"Pelecaniformes","North",3,22,0.136363636363636
"Pelecaniformes","Northeast",5,22,0.227272727272727
"Pelecaniformes","Northwest",1,22,0.0454545454545455
"Pelecaniformes","South",0,22,0
"Pelecaniformes","Southeast",1,22,0.0454545454545455
"Pelecaniformes","Southwest",4,22,0.181818181818182
"Pelecaniformes","West",2,22,0.0909090909090909
