species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Anous stolidus,matched,20,12,12,modeled,NA,random_repeated,maxnet::maxnet
Anthreptes malacensis,matched,75,17,17,modeled,NA,random_repeated,maxnet::maxnet
Ardenna pacifica,matched,12,10,10,modeled,NA,random_repeated,maxnet::maxnet
Ardenna tenuirostris,matched,14,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ardeola grayii,matched,7,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ardeola speciosa,matched,18,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Asarcornis scutulata,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Aythya collaris,matched,17,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Brachyramphus perdix,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Branta canadensis,matched,25,18,18,modeled,NA,random_repeated,maxnet::maxnet
Calidris bairdii,matched,3,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ciconia episcopus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Coturnicops exquisitus,matched,44,33,33,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Cyornis rubeculoides,matched,36,24,24,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Emberiza stewarti,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula hypoleuca,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Ficedula owstoni,matched,31,19,19,modeled,NA,random_repeated,maxnet::maxnet
Ficedula ruficauda,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gavia adamsii,matched,26,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Gavia pacifica,matched,40,11,11,modeled,NA,random_repeated,maxnet::maxnet
Geokichla wardii,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Geopelia striata,matched,20,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Grus canadensis,matched,30,18,18,modeled,NA,random_repeated,maxnet::maxnet
Gygis alba,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Halcyon coromanda,matched,29,14,14,modeled,NA,random_repeated,maxnet::maxnet
Harpactes wardi,matched,14,11,11,modeled,NA,random_repeated,maxnet::maxnet
Helopsaltes pleskei,matched,19,11,11,modeled,NA,random_repeated,maxnet::maxnet
Hemiprocne coronata,matched,75,32,32,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Hirundo smithii,matched,42,16,16,modeled,NA,random_repeated,maxnet::maxnet
Larus glaucescens,matched,10,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Leptoptilos javanicus,matched,19,10,10,modeled,NA,random_repeated,maxnet::maxnet
Lophotriorchis kienerii,matched,33,26,26,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Machlolophus xanthogenys,matched,14,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Melanitta fusca,matched,21,13,13,modeled,NA,random_repeated,maxnet::maxnet
Mycteria leucocephala,matched,14,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Neophron percnopterus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Oceanites oceanicus,matched,3,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Phalaropus fulicarius,matched,51,20,20,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Pitta moluccensis,matched,8,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Pluvialis apricaria,matched,9,8,8,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Pnoepyga immaculata,matched,22,12,12,modeled,NA,random_repeated,maxnet::maxnet
Psilopogon faiostrictus,matched,12,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Rallina fasciata,matched,4,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Saxicola rubetra,matched,4,4,4,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Stercorarius longicaudus,matched,16,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Stercorarius parasiticus,matched,21,18,18,modeled,NA,random_repeated,maxnet::maxnet
Stercorarius pomarinus,matched,19,15,15,modeled,NA,random_repeated,maxnet::maxnet
Sturnia pagodarum,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Sula dactylatra,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Sula sula,matched,6,5,5,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Synthliboramphus antiquus,matched,12,8,8,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Syrmaticus humiae,matched,71,53,53,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Temnurus temnurus,matched,90,22,22,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Thalasseus bengalensis,matched,7,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Todiramphus chloris,matched,6,6,6,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Turdus migratorius,matched,5,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Vanellus indicus,matched,75,39,39,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Vanellus leucurus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Zosterops meyeni,matched,8,7,7,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
